"Command","Description","URL"
"a64l(3)","convert between long and base-64","./man3/a64l.3.html"
"abort(3)","cause abnormal process termination","./man3/abort.3.html"
"abs(3)","compute the absolute value of an integer","./man3/abs.3.html"
"ac(1)","print statistics about users' connect time","./man1/ac.1.html"
"ac(8)","print statistics about users' connect time","./man8/ac.8.html"
"accept(2)","accept a connection on a socket","./man2/accept.2.html"
"accept4(2)","accept a connection on a socket","./man2/accept4.2.html"
"access(2)","check user's permissions for a file","./man2/access.2.html"
"access.conf(5)","the login access control table file","./man5/access.conf.5.html"
"accessdb(8)","dumps the content of a man-db database in a human readable format","./man8/accessdb.8.html"
"acct(2)","switch process accounting on or off","./man2/acct.2.html"
"acct(5)","process accounting file","./man5/acct.5.html"
"accton(8)","turns process accounting on or off","./man8/accton.8.html"
"acl(5)","Access Control Lists","./man5/acl.5.html"
"acl_add_perm(3)","add a permission to an ACL permission set","./man3/acl_add_perm.3.html"
"acl_calc_mask(3)","calculate the file group class mask","./man3/acl_calc_mask.3.html"
"acl_check(3)","check an ACL for validity","./man3/acl_check.3.html"
"acl_clear_perms(3)","clear all permissions from an ACL permission set","./man3/acl_clear_perms.3.html"
"acl_cmp(3)","compare two ACLs","./man3/acl_cmp.3.html"
"acl_copy_entry(3)","copy an ACL entry","./man3/acl_copy_entry.3.html"
"acl_copy_ext(3)","copy an ACL from internal to external representation","./man3/acl_copy_ext.3.html"
"acl_copy_int(3)","copy an ACL from external to internal representation","./man3/acl_copy_int.3.html"
"acl_create_entry(3)","create a new ACL entry","./man3/acl_create_entry.3.html"
"acl_delete_def_file(3)","delete a default ACL by filename","./man3/acl_delete_def_file.3.html"
"acl_delete_entry(3)","delete an ACL entry","./man3/acl_delete_entry.3.html"
"acl_delete_perm(3)","delete a permission from an ACL permission set","./man3/acl_delete_perm.3.html"
"acl_dup(3)","duplicate an ACL","./man3/acl_dup.3.html"
"acl_entries(3)","return the number of entries in an ACL","./man3/acl_entries.3.html"
"acl_equiv_mode(3)","check for an equivalent ACL","./man3/acl_equiv_mode.3.html"
"acl_error(3)","convert an ACL error code to a text message","./man3/acl_error.3.html"
"acl_extended_fd(3)","test for information in the ACL by file descriptor","./man3/acl_extended_fd.3.html"
"acl_extended_file(3)","test for information in ACLs by file name","./man3/acl_extended_file.3.html"
"acl_extended_file_nofollow(3)","test for information in ACLs by file name","./man3/acl_extended_file_nofollow.3.html"
"acl_free(3)","release memory allocated to an ACL data object","./man3/acl_free.3.html"
"acl_from_mode(3)","create an ACL from file permission bits","./man3/acl_from_mode.3.html"
"acl_from_text(3)","create an ACL from text","./man3/acl_from_text.3.html"
"acl_get_entry(3)","get an ACL entry","./man3/acl_get_entry.3.html"
"acl_get_fd(3)","get an ACL by file descriptor","./man3/acl_get_fd.3.html"
"acl_get_file(3)","get an ACL by filename","./man3/acl_get_file.3.html"
"acl_get_perm(3)","test for a permission in an ACL permission set","./man3/acl_get_perm.3.html"
"acl_get_permset(3)","retrieve the permission set from an ACL entry","./man3/acl_get_permset.3.html"
"acl_get_qualifier(3)","retrieve the qualifier from an ACL entry","./man3/acl_get_qualifier.3.html"
"acl_get_tag_type(3)","get the tag type of an ACL entry","./man3/acl_get_tag_type.3.html"
"acl_init(3)","initialize ACL working storage","./man3/acl_init.3.html"
"acl_set_fd(3)","set an ACL by file descriptor","./man3/acl_set_fd.3.html"
